,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
44,44,4848168385.0,uppstf,2016-02-02 06:58:00,0,11090,63.0,"Lucknow, Uttar Pradesh",0.833333333,0.666666667,1.066666667,220.1666667,131.4333333,315,0,2021-07-06 16:08:28,64.0,1981.3822685185185,0.1589799227564128,0.03,31.450512198706644
45,45,34245009.0,indiatvnews,2009-04-22 11:26:00,131,675330,28.0,India,2.1,1.833333333,0.333333333,10.86666667,32.3,426475,0,2021-07-06 16:08:28,29.0,4458.196157407408,95.6608872607368,0.63,159.22129133597883
46,46,39743812.0,EconomicTimes,2009-05-13 12:54:00,120,3201871,44.0,0,1.7,0.833333333,0.6,2.933333333,4.533333333,386241,0,2021-07-06 16:08:28,45.0,4437.135046296296,87.04738439782167,0.12,100.84397832491582
47,47,372754427.0,BBCHindi,2011-09-13 10:54:00,157,1122950,209.0,India/London,0.1,1.033333333,0.033333333,58.8,237.6666667,101591,0,2021-07-06 16:08:28,210.0,3584.2183796296295,28.343976075056503,0.09,17.149370237462342
48,48,1056850669.0,airnewsalerts,2013-03-01 04:15:00,114,2050934,15.0,"New Delhi, India",2.733333333,1.333333333,0.333333333,16.7,62.6,227527,0,2021-07-06 16:08:28,16.0,3049.495462962963,74.61135875208987,0.11,203.2996975308642
49,49,98362607.0,News18India,2009-12-21 12:11:00,47,1035828,89.0,India,2.0333333330000003,2.0,1.5666666669999998,20.73333333,100.5333333,285841,0,2021-07-06 16:08:28,90.0,4215.164907407408,67.81253077375098,0.28,47.361403454015814
50,50,39240673.0,abpnewstv,2009-11-05 12:25:00,40,8254265,165.0,India,2.333333333,1.933333333,0.6,20.3,99.3,194592,0,2021-07-06 16:08:28,166.0,4261.1551851851855,45.66648984682383,0.02,25.825182940516274
51,51,37034483.0,ndtv,2009-01-05 20:34:00,31,11375975,14.0,India,0.6333333329999999,1.033333333,0.5,5.4,19.46666667,596778,0,2021-07-06 16:08:28,15.0,4564.815601851852,130.73430606000807,0.05,326.0582572751323
52,52,37034483.0,ndtv,2009-01-05 20:34:00,31,11375976,14.0,India,0.6333333329999999,1.033333333,0.5,5.4,19.46666667,596778,0,2021-07-06 16:08:28,15.0,4564.815601851852,130.73430606000807,0.05,326.0582572751323
53,53,461841349.0,ZeeNewsHindi,2012-12-01 07:52:00,110,1868916,22.0,India,2.0333333330000003,2.9,1.5,244.9666667,992.1666667000003,181026,0,2021-07-06 16:08:28,23.0,3139.3447685185183,57.663625166415734,0.1,142.69748947811448
54,54,177829660.0,THexplains,2010-08-13 04:41:00,74,592737,45.0,0,0.6333333329999999,0.966666667,0.133333333,19.96666667,71.2,141753,0,2021-07-06 16:08:28,46.0,3980.4774074074076,35.61205993437042,0.24,88.45505349794239
55,55,29958928.0,TOIIndiaNews,2009-09-04 10:36:00,113,998792,22.0,"New Delhi, India",0.0,1.0,0.0,0.933333333,4.433333333,212603,0,2021-07-06 16:08:28,23.0,4323.230879629629,49.176878570550386,0.21,196.51049452861952
56,56,123171317.0,NavbharatTimes,2010-03-15 06:49:00,103,758467,479.0,"Delhi, India",0.666666667,2.8,1.6,8.6,39.56666667,250352,0,2021-07-06 16:08:28,480.0,4131.388518518518,60.59754459737284,0.33,8.625028222376864
57,57,2251588934.0,TheOfficialSBI,2013-12-18 07:27:00,158,3752949,20.0,0,0.0,0.8666666670000001,1.1,0.0,0.033333333,347842,0,2021-07-06 16:08:28,21.0,2757.3621296296296,126.1502782903319,0.09,137.86810648148148
58,58,321271735.0,ndtvindia,2011-06-21 09:01:00,81,604495,35.0,New Delhi,0.2,2.0,0.066666667,63.4,245.8,116035,0,2021-07-06 16:08:28,36.0,3668.296851851852,31.631845700116255,0.19,104.80848148148148
59,59,1966507722.0,DDNewsHindi,2013-10-17 10:22:00,121,615255,68.0,नई दिल्ली/भारत,0.4,0.933333333,0.1,96.2,115.4333333,91163,0,2021-07-06 16:08:28,69.0,2819.240601851852,32.33601273340008,0.15,41.45942061546841
60,60,1734536606.0,News18_UK,2013-06-09 09:04:00,48,8764,42.0,"Dehradun, India",1.1,1.0,0.533333333,0.033333333,0.6333333329999999,70674,0,2021-07-06 16:08:28,43.0,2949.2947685185186,23.96301677078577,8.06,70.22130401234568
61,61,1.03e+18,Dilipdubey03,2018-08-26 11:10:00,0,28,147.0,0,1.066666667,0.266666667,2.0333333330000003,50.96666667,0.066666667,63,0,2021-07-06 16:08:28,148.0,1045.2072685185185,0.060275126185542593,2.25,7.110253527336861
62,62,4743832831.0,upcopsachin,2016-11-01 15:17:00,157,4081,391.0,"Agra, India",0.4,0.4,2.3,89.16666667,11.56666667,3926,0,2021-07-06 16:08:28,392.0,1708.0357407407407,2.2985467495530116,0.96,4.368377853556882
